"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.55","51.19","BANFF CS","3050519","1995-04","1995","04","7.8","","-2.9","","2.5","","13.9","","-7.2","","0.0","","95.3","E","95.3","E","4","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-05","1995","05","14.3","E","-0.2","E","7.1","E","24.9","","-4.0","","68.6","E","20.6","E","89.2","E","7","E","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-06","1995","06","18.1","E","4.6","E","11.4","E","23.9","","-2.9","E","89.0","E","0.0","","89.0","E","","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-07","1995","07","19.8","E","7.6","","13.7","E","23.6","","0.8","","62.2","","0.0","","62.2","","","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-08","1995","08","18.0","E","4.3","E","11.2","E","25.1","","-0.5","","61.6","E","0.0","","61.6","E","","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-09","1995","09","18.3","","2.1","","10.2","","26.4","","-5.0","","28.8","E","3.9","E","32.7","E","","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-10","1995","10","6.7","","-2.2","","2.3","","14.2","","-13.5","","36.0","","7.6","E","43.6","E","10","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-11","1995","11","0.6","E","-8.2","E","-3.8","E","9.1","","-31.0","","0.0","T","69.3","E","69.3","E","15","","","","",""
"-115.55","51.19","BANFF CS","3050519","1995-12","1995","12","-6.2","E","-14.4","E","-10.3","E","4.0","E","-34.0","","0.0","","56.1","E","56.1","E","28","","","","",""
"-115.55","51.19","BANFF CS","3050519","1996-01","1996","01","-10.2","E","-22.7","E","-16.4","E","7.4","","-44.2","","0.0","","","","","","","","","","",""
"-115.55","51.19","BANFF CS","3050519","1996-02","1996","02","-0.9","E","-13.1","E","-7.0","E","12.1","","-38.0","","","","","","","","","","","","",""
